customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
,,,,697953.59,0.0,94.0,0.0,,,1131.464935
,,,,1288743.17,48767.0,108.0,0.0,,,566.472247
,,,,764586.18,0.0,106.0,0.0,,,529.881344
,,,,536307.65,36357.0,68.0,0.0,,,17.269323
,,,,825629.78,62902.0,69.0,0.0,,,159.383042
,,,,538089.86,55350.0,67.0,0.0,,,321.6
,,,,721610.03,0.0,101.0,0.0,,,363.02968
,,,,2412750.4,14072.0,71.0,0.0,,,511.2
,,,,738817.81,28812.0,93.0,0.0,,,425.527834
,,,,473899.2,0.0,67.0,0.0,,,482.4
,,,,617710.93,61040.0,79.0,1.0,,,20.382876
,,,,916206.32,29723.0,80.0,0.0,,,20.985105
,,,,473787.17,0.0,130.0,0.0,,,23.820158
,,,,495165.61,46896.0,35354.0,1.0,,,31.707317
,,,,487938.48,67163.0,61.0,2.0,,,33.192803
,,,,538275.2,77552.0,68.0,1.0,,,45.215059
,,,,1595001.95,0.0,87.0,1.0,,,46.041452
,,,,499655.27,71600.0,63.0,0.0,,,46.158117
,,,,518579.76,99428.0,6464.0,1.0,,,48.046869
,,,,1048491.54,61108.0,89.0,0.0,,,49.451117
,,,,282986.39,25317.0,71.0,0.0,,,50.422181
,,,,725595.38,88891.0,89.0,0.0,,,50.528355
,,,,1038855.32,61222.0,89.0,0.0,,,392.604371
,,,,247012.12,0.0,74.0,0.0,,,721.242206
,,,,561906.85,50335.0,140.0,0.0,,,456.52385
,,,,904711.92,0.0,127.0,0.0,,,1087.995426
,,,,268731.41,82210.0,68.0,4.0,,,51.961915
,,,,373150.46,0.0,96.0,0.0,,,460.8
,,,,366077.03,64495.0,92.0,0.0,,,251.992083
,,,,792882.93,0.0,72.0,0.0,,,345.6
,,,,501175.16,28859.0,67.0,3.0,,,321.6
,,,,798825.83,77330.0,99.0,0.0,,,99.257608
,,,,388545.64,0.0,105.0,0.0,,,504.0
,,,,935773.78,33060.0,117.0,0.0,,,56.731578
,,,,254068.98,42557.0,65.0,0.0,,,57.562324
,,,,488516.25,26372.0,126.0,0.0,,,604.8
,,,,975330.71,17514.0,127.0,0.0,,,8.312729
,,,,294615.37,89270.0,74.0,0.0,,,316.599228
,,,,258111.09,29757.0,65.0,0.0,,,312.0
,,,,351738.58,51814.0,92.0,0.0,,,56.300724
,,,,974335.01,24028.0,82.0,0.0,,,393.6
,,,,387364.7,28142.0,105.0,0.0,,,701.708239
,,,,764928.2,52705.0,64.0,1.0,,,128.705563
,,,,228759.69,0.0,63.0,0.0,,,679.368378
,,,,825576.39,54040.0,103.0,0.0,,,59.987126
,,,,871492.21,0.0,118.0,0.0,,,566.4
,,,,681923.12,22492.0,85.0,0.0,,,61.654262
,,,,741619.73,0.0,77.0,2.0,,,554.4
,,,,777115.9,21876.0,68.0,0.0,,,465.41477
,,,,696834.19,0.0,69.0,1.0,,,496.8
,,,,425028.26,0.0,61.0,1.0,,,292.8
,,,,1977656.65,70699.0,82.0,0.0,,,256.813837
,,,,2134346.6,0.0,74.0,1.0,,,355.2
,,,,241313.97,27501.0,63.0,0.0,,,542.319401
,,,,1536384.72,15897.0,101.0,0.0,,,303.148399
,,,,845696.19,25141.0,73.0,1.0,,,25.438063
,,,,218964.25,0.0,61.0,3.0,,,292.8
,,,,578018.22,51066.0,74.0,0.0,,,787.993313
,,,,463998.16,28358.0,117.0,0.0,,,84.024413
,,,,382443.13,62530.0,95.0,0.0,,,61.693771
,,,,596811.89,90972.0,74.0,0.0,,,232.926145
,,,,859033.5,63110.0,72.0,0.0,,,68.179721
,,,,407663.47,29549.0,104.0,0.0,,,710.433775
,,,,1225260.18,0.0,115.0,1.0,,,552.0
,,,,1693627.15,39411.0,217.0,2.0,,,1122.658899
,,,,489243.55,21709.0,62.0,0.0,,,408.374746
,,,,994230.48,67890.0,85.0,0.0,,,408.0
,,,,373583.81,0.0,110.0,0.0,,,792.0
,,,,1311752.22,84311.0,111.0,4.0,,,532.8
,,,,457452.41,99316.0,114.0,0.0,,,754.358929
,,,,547006.06,54507.0,138.0,0.0,,,702.990032
,,,,297884.6,64586.0,76.0,0.0,,,206.837111
,,,,641096.75,61709.0,82.0,2.0,,,275.395894
,,,,447902.31,94656.0,111.0,1.0,,,459.738128
,,,,238373.19,0.0,69.0,0.0,,,496.8
,,,,276449.37,61085.0,70.0,1.0,,,336.0
,,,,792010.54,89284.0,67.0,3.0,,,321.6
,,,,688909.8,0.0,63.0,0.0,,,302.4
,,,,327419.46,31686.0,81.0,0.0,,,430.994107
,,,,995170.77,56855.0,255.0,0.0,,,1836.0
,,,,252155.57,53703.0,67.0,2.0,,,67.632476
,,,,2370611.34,0.0,96.0,1.0,,,844.481918
,,,,604702.52,20396.0,76.0,1.0,,,364.8
,,,,1114030.25,27679.0,150.0,0.0,,,722.486994
,,,,433406.41,23904.0,123.0,3.0,,,590.4
,,,,279974.79,65351.0,69.0,0.0,,,481.027516
,,,,792313.66,0.0,113.0,0.0,,,1124.427734
,,,,368811.09,0.0,63.0,3.0,,,669.682001
,,,,1206745.6,0.0,116.0,0.0,,,1284.093173
,,,,292497.67,64459.0,72.0,0.0,,,240.259479
,,,,1501409.27,32961.0,190.0,0.0,,,912.0
,,,,927723.38,71416.0,116.0,0.0,,,556.8
,,,,627412.39,68964.0,78.0,0.0,,,115.086827
,,,,388664.74,78108.0,98.0,0.0,,,470.4
,,,,438627.76,10621.0,67.0,0.0,,,321.6
,,,,1136526.77,84910.0,95.0,0.0,,,383.167471
,,,,561096.43,77493.0,70.0,0.0,,,307.963291
,,,,291289.2,81097.0,74.0,0.0,,,355.2
,,,,691572.99,96610.0,85.0,0.0,,,520.364752
,,,,626266.33,30110.0,159.0,0.0,,,466.436375
,,,,650339.7,22081.0,84.0,0.0,,,451.670309
,,,,800739.94,0.0,112.0,0.0,,,537.6
,,,,292991.65,98473.0,72.0,0.0,,,345.6
,,,,596955.3,97431.0,74.0,0.0,,,355.2
,,,,547315.99,93870.0,69.0,0.0,,,331.2
,,,,564539.67,50366.0,72.0,0.0,,,428.734656
,,,,636926.24,34498.0,83.0,0.0,,,398.4
,,,,1183376.73,16552.0,103.0,0.0,,,494.4
,,,,612110.79,26787.0,77.0,0.0,,,369.6
,,,,515936.97,0.0,74.0,0.0,,,831.752839
,,,,251459.2,43860.0,65.0,0.0,,,156.124914
,,,,866861.13,21474.0,114.0,2.0,,,373.428187
,,,,496096.54,18174.0,66.0,0.0,,,395.934815
,,,,550413.9,0.0,73.0,0.0,,,350.4
,,,,750745.54,60920.0,64.0,0.0,,,231.201886
,,,,3226985.14,41520.0,90.0,0.0,,,289.904105
,,,,565703.16,0.0,152.0,0.0,,,729.6
,,,,506175.79,0.0,68.0,0.0,,,326.4
,,,,591278.38,72208.0,73.0,0.0,,,350.4
,,,,1518227.98,53863.0,63.0,0.0,,,105.765111
,,,,1074703.09,66446.0,136.0,0.0,,,639.464548
,,,,205062.35,0.0,61.0,0.0,,,292.8
,,,,246544.49,64997.0,63.0,1.0,,,383.442328
,,,,534312.13,64460.0,66.0,0.0,,,316.8
,,,,811982.91,46618.0,67.0,0.0,,,99.085943
,,,,460526.52,0.0,64.0,0.0,,,307.2
,,,,640878.56,49988.0,84.0,5.0,,,566.935022
,,,,237653.35,0.0,91.0,5.0,,,436.8
,,,,321107.0,16269.0,86.0,0.0,,,412.8
,,,,509452.23,72006.0,64.0,0.0,,,307.2
,,,,2575527.82,0.0,81.0,2.0,,,388.8
,,,,867222.97,0.0,245.0,0.0,,,2345.413441
,,,,804473.07,44320.0,67.0,0.0,,,321.6
,,,,400151.91,19782.0,108.0,0.0,,,773.470977
,,,,1670611.7,63933.0,70.0,0.0,,,424.883448
,,,,854441.11,28224.0,109.0,0.0,,,523.2
,,,,780531.29,21073.0,106.0,1.0,,,508.8
,,,,611275.69,63243.0,77.0,0.0,,,364.240307
,,,,477294.38,20993.0,133.0,0.0,,,638.4
,,,,1097909.56,94827.0,135.0,0.0,,,354.729129
,,,,500426.38,39161.0,63.0,1.0,,,283.995953
